group,response
treatment,no
treatment,yes
control,yes
treatment,yes
control,yes
control,yes
treatment,yes
control,maybe
treatment,maybe
control,no
control,yes
treatment,yes
control,yes
control,yes
control,yes
control,maybe
treatment,yes
treatment,no
treatment,yes
treatment,yes
control,no
control,no
treatment,no
treatment,yes
control,no
treatment,yes
control,maybe
treatment,yes
treatment,maybe
control,no
treatment,yes
control,maybe
treatment,no
control,no
treatment,yes
control,no
control,yes
treatment,yes
control,maybe
control,yes
treatment,no
control,no
control,no
control,yes
control,no
treatment,no
control,yes
control,yes
control,yes
control,yes
control,yes
treatment,yes
treatment,no
control,yes
treatment,maybe
control,yes
treatment,yes
control,maybe
control,no
control,yes
control,yes
treatment,no
treatment,yes
control,no
control,no
control,yes
treatment,yes
treatment,no
treatment,yes
control,no
treatment,maybe
control,yes
control,yes
control,maybe
treatment,yes
treatment,yes
treatment,no
treatment,yes
control,maybe
treatment,maybe
control,maybe
control,no
treatment,no
treatment,maybe
treatment,no
control,maybe
treatment,yes
treatment,maybe
control,yes
control,yes
treatment,maybe
treatment,maybe
control,no
treatment,no
control,no
treatment,yes
treatment,yes
treatment,maybe
treatment,no
control,yes
treatment,no
control,yes
control,maybe
control,no
control,no
control,yes
control,yes
control,maybe
treatment,yes
treatment,no
control,no
treatment,yes
treatment,no
treatment,yes
treatment,yes
control,no
control,yes
treatment,yes
treatment,maybe
treatment,yes
control,no
control,no
control,maybe
treatment,yes
control,yes
control,no
treatment,yes
treatment,maybe
control,no
treatment,yes
treatment,yes
control,maybe
treatment,maybe
control,no
control,yes
control,maybe
treatment,no
treatment,no
treatment,no
treatment,yes
control,no
control,yes
treatment,yes
control,maybe
control,no
treatment,no
control,no
control,no
control,yes
treatment,no
control,yes
treatment,yes
treatment,yes
control,yes
control,no
control,maybe
control,yes
control,no
treatment,no
treatment,yes
treatment,yes
treatment,yes
treatment,yes
control,no
treatment,no
control,yes
treatment,yes
control,yes
control,maybe
treatment,no
control,no
control,yes
control,yes
control,maybe
control,yes
treatment,yes
control,no
treatment,yes
control,yes
control,maybe
control,maybe
control,maybe
control,maybe
control,maybe
control,no
control,yes
treatment,yes
treatment,maybe
treatment,yes
control,maybe
control,maybe
control,yes
treatment,yes
control,yes
treatment,yes
treatment,no
treatment,yes
treatment,no
treatment,no
treatment,no
control,yes
treatment,yes
treatment,yes
treatment,no
treatment,yes
control,no
control,maybe
control,no
treatment,yes
control,no
treatment,no
control,maybe
control,yes
treatment,no
treatment,maybe
control,maybe
treatment,no
treatment,yes
treatment,yes
treatment,yes
treatment,yes
control,maybe
treatment,yes
control,no
control,maybe
control,yes
control,maybe
treatment,yes
control,yes
treatment,maybe
control,no
treatment,no
treatment,no
control,maybe
control,no
treatment,yes
treatment,yes
treatment,no
treatment,yes
treatment,yes
treatment,no
control,yes
control,maybe
treatment,yes
control,yes
control,no
treatment,yes
control,maybe
treatment,yes
treatment,yes
control,yes
treatment,yes
control,yes
treatment,maybe
control,no
treatment,no
control,yes
control,no
treatment,yes
control,no
control,maybe
control,yes
control,no
control,yes
control,no
control,yes
treatment,yes
treatment,yes
treatment,yes
control,yes
control,yes
treatment,maybe
treatment,yes
treatment,maybe
control,yes
control,yes
treatment,yes
treatment,maybe
treatment,no
treatment,yes
control,maybe
treatment,yes
treatment,yes
control,yes
treatment,yes
treatment,maybe
treatment,yes
control,no
control,yes
treatment,no
control,no
control,no
control,maybe
treatment,yes
treatment,no
treatment,yes
control,yes
treatment,yes
treatment,yes
treatment,yes
treatment,yes
control,yes
treatment,maybe
control,yes
control,no
control,no
control,no
control,no
control,yes
treatment,no
control,yes
control,maybe
control,yes
treatment,no
treatment,yes
treatment,yes
treatment,yes
treatment,yes
treatment,yes
treatment,yes
treatment,yes
treatment,no
treatment,yes
treatment,yes
treatment,yes
treatment,maybe
treatment,yes
treatment,no
treatment,maybe
control,maybe
control,no
treatment,no
control,maybe
treatment,yes
treatment,no
control,no
control,yes
control,yes
control,yes
control,maybe
treatment,yes
control,maybe
treatment,no
control,yes
treatment,yes
control,yes
treatment,no
treatment,yes
treatment,maybe
control,no
treatment,yes
control,yes
treatment,yes
control,yes
treatment,maybe
treatment,no
control,yes
treatment,yes
treatment,yes
treatment,yes
treatment,yes
control,yes
control,no
control,maybe
control,yes
treatment,yes
control,yes
control,no
control,yes
control,yes
treatment,yes
treatment,yes
treatment,yes
control,no
treatment,yes
control,no
treatment,no
control,no
treatment,yes
treatment,yes
treatment,maybe
treatment,yes
control,no
control,yes
control,no
treatment,yes
control,no
treatment,yes
control,no
treatment,yes
treatment,yes
control,no
treatment,no
control,yes
control,yes
control,yes
control,yes
treatment,no
treatment,yes
control,yes
