region,plan,age,income,usage_hours,satisfaction
N,basic,59.0,43160.05608387508,7.821941303029231,5.0
S,pro,58.0,55129.153618264616,11.144467517107602,7.0
E,basic,31.0,60447.05356291527,14.10461925524244,5.0
N,basic,19.0,45314.199634424236,15.130010891114663,10.0
N,max,55.0,30607.750626862424,3.6046013327784894,6.0
W,max,20.0,59076.36006710533,12.272294069197038,7.0
N,basic,62.0,33114.52497366705,6.128610434404707,6.0
N,pro,45.0,36505.27021573892,5.331289060511445,8.0
W,max,48.0,33331.074421908066,7.0956883754926485,1.0
E,pro,43.0,62508.317458506615,10.601113471336305,9.0
S,max,64.0,47419.68552619578,9.184451899279068,3.0
E,max,57.0,20000.0,6.336290295063234,3.0
E,pro,50.0,60889.24529731606,7.992798827949452,4.0
S,pro,29.0,80928.39795200583,16.537822144538445,1.0
N,basic,45.0,76864.90712906916,16.12329888320014,3.0
W,pro,40.0,41343.2702024158,6.210780362174996,1.0
E,max,52.0,51020.57971606724,11.108738957923176,5.0
E,basic,65.0,57490.82170834797,12.058149735830451,5.0
W,pro,27.0,63258.127609911346,11.810613425300454,1.0
E,max,32.0,50376.73389027202,12.35627191588539,10.0
W,pro,65.0,33434.98823691002,3.929171703516724,1.0
N,max,37.0,61171.36013094075,13.377356920993979,5.0
E,max,60.0,59076.54120317229,11.205048551559859,4.0
S,max,47.0,29887.63550344926,3.721621581893574,10.0
S,basic,29.0,44336.058670762046,8.36893287171837,8.0
E,max,65.0,53876.37460739714,9.933551741944754,3.0
N,basic,56.0,49796.94439762788,11.4538088288837,4.0
W,max,26.0,57702.49647661948,8.406837593529604,2.0
W,basic,46.0,61768.50046272664,11.82113453497655,8.0
N,pro,51.0,57958.582769036875,10.537055020747562,5.0
S,max,46.0,48107.838917381865,12.623780887851865,5.0
S,max,37.0,29593.56839117311,3.538720761470849,9.0
N,pro,33.0,59063.07312994181,13.785647176575688,10.0
W,max,37.0,70843.7332576323,10.51088679902595,10.0
S,basic,54.0,79458.62407928979,16.433357764488076,9.0
N,basic,30.0,49321.305753245935,9.44434313352817,6.0
E,max,59.0,49282.866957114486,10.462903274314845,9.0
N,max,40.0,71514.20515326344,12.746245134959352,4.0
W,pro,26.0,71398.1422303844,10.225515394477895,10.0
N,basic,45.0,54921.387068214986,7.739872395101045,8.0
N,basic,27.0,60500.039396987464,14.568766860677899,5.0
N,basic,36.0,38384.84957278972,7.945298741062983,5.0
S,pro,24.0,58564.980852272165,9.824774462481857,2.0
S,pro,42.0,37407.95311997079,9.119658984281605,4.0
W,pro,22.0,47620.38001064302,7.8706772240535985,10.0
E,pro,48.0,47949.25334019138,7.947297951316805,8.0
S,max,59.0,42762.198565547675,5.960290904345806,3.0
N,basic,58.0,20000.0,6.187207313076103,1.0
N,basic,25.0,37396.262688660936,11.235107153484114,6.0
W,basic,44.0,54788.3373661624,8.85919745073392,8.0
S,max,38.0,48875.902332984,10.181554973244275,3.0
E,pro,36.0,43883.00340533253,10.558277742988592,10.0
N,basic,40.0,56218.68772023756,15.299325019078381,6.0
N,max,64.0,60118.797615152325,7.051088652863214,2.0
W,basic,32.0,62500.690259390656,12.604114437045098,9.0
E,max,26.0,37671.70298540168,8.64525909011346,8.0
S,basic,56.0,50093.51092554482,6.878237152593,6.0
S,max,20.0,44753.99371673247,9.584119289974804,1.0
N,basic,40.0,36586.69181124432,7.5282595682947315,1.0
N,basic,61.0,27308.1327410196,6.723528679542834,2.0
N,pro,41.0,48280.94127487895,8.305350600684958,2.0
