subject_id,before,after
1,96.5719,97.5171
2,94.8653,97.4308
3,110.5112,113.0364
4,103.6112,107.2601
5,115.2452,117.9219
6,101.7186,105.8575
7,90.6628,94.573
8,92.4325,93.6093
9,85.3317,89.8662
10,122.0863,125.3975
11,112.6431,115.4326
12,97.844,99.5835
13,130.5513,133.3384
14,96.8258,99.1833
15,116.2521,116.5172
16,90.0533,93.3902
17,102.9684,108.2178
18,121.3958,125.4187
19,97.8197,101.1142
20,97.482,96.8107
21,102.9777,104.8501
22,105.2066,107.1181
23,76.7313,79.0297
24,119.4824,121.9796
25,84.2589,83.8296
26,103.4938,108.0484
27,83.8361,87.3855
28,79.823,81.7861
29,82.3778,85.6425
30,86.7379,89.6781
31,106.8051,110.7234
32,108.6824,112.2838
33,129.1333,132.7723
34,89.459,93.0741
35,86.5789,88.0
36,83.2422,85.2991
37,100.0588,102.7289
38,94.9029,97.6761
39,100.7295,103.7139
40,61.9174,62.8314
41,108.9611,110.9956
42,106.1913,107.9299
43,73.7649,77.4948
44,109.1133,112.4402
45,96.2708,99.0782
46,106.7298,108.0824
47,98.8834,101.2265
48,120.4623,123.6106
