group,value
A,0.01702
A,-0.478966
A,-0.615031
A,1.593524
A,0.127717
A,-0.79977
A,1.264629
A,-0.823377
A,0.055013
A,-0.451641
A,-1.831399
A,-0.947263
A,-0.114211
A,-0.604407
A,1.57805
A,-0.301603
A,-0.831778
A,-0.424585
A,-0.166437
A,0.089303
A,-2.205062
A,0.190918
A,0.5361
A,-1.25692
A,-0.385981
A,-0.687785
A,0.241593
A,-0.687071
A,-1.144434
A,-0.399747
A,-0.036154
A,2.065056
A,0.433155
A,0.014946
A,-0.894221
B,1.084987
B,0.291236
B,-0.496481
B,0.558177
B,0.400606
B,0.200085
B,0.132718
B,-1.23224
B,-0.500524
B,0.675417
B,-0.439425
B,1.323282
B,0.09877
B,1.468748
B,-0.680851
B,-0.408917
B,0.366961
B,0.888595
B,0.161868
B,0.330539
B,-1.384335
B,0.04629
B,-0.259677
B,-2.026079
B,0.879026
B,0.436163
B,-0.301829
B,-0.344004
B,-0.140668
B,0.394743
B,0.490469
B,1.792764
B,0.379794
B,1.372575
B,3.067291
C,-0.428006
C,1.866409
C,1.791367
C,3.657548
C,2.394704
C,2.7067
C,0.875191
C,1.191725
C,0.492918
C,2.938433
C,2.531504
C,0.91152
C,1.788248
C,2.128397
C,2.303644
C,1.795873
C,2.511426
C,0.444357
C,2.200781
C,-1.498816
C,1.365872
C,1.8467
C,1.665544
C,1.427179
C,0.555608
C,0.80266
C,1.892833
C,0.604603
C,1.273371
C,3.045669
C,0.467087
C,0.721922
C,1.56539
C,1.551677
C,2.275764
D,0.116878
D,1.325777
D,1.436923
D,0.8354
D,1.684762
D,-0.264248
D,0.582428
D,2.834505
D,1.926383
D,1.564985
D,0.971455
D,2.456734
D,-0.348248
D,0.950633
D,0.827082
D,1.046409
D,0.507873
D,1.092952
D,0.665698
D,0.726729
D,2.34692
D,1.09876
D,2.759663
D,1.200392
D,1.764294
D,1.616898
D,1.283269
D,1.464617
D,0.999983
D,0.123604
D,0.755849
D,1.098322
D,0.503025
D,1.025999
D,1.429794
